payment_id,order_id,payment_date,payment_method,payment_status,amount_paid_gbp,refund_amount_gbp
1,1,2025-07-11 16:00:00,Card,Paid,211.48,0.0
2,2,2025-03-23 15:00:00,Google Pay,Paid,226.36,0.0
3,3,2024-09-23 07:00:00,Google Pay,Paid,57.66,0.0
4,4,2025-04-06 02:00:00,Apple Pay,Paid,241.8,0.0
5,5,2025-07-17 23:00:00,Buy Now Pay Later,Paid,154.16,0.0
6,6,2024-11-06 12:00:00,Buy Now Pay Later,Paid,184.64,0.0
7,7,2025-07-11 02:00:00,Apple Pay,Paid,24.91,0.0
8,8,2025-06-15 15:00:00,Buy Now Pay Later,Paid,33.98,0.0
9,9,2025-02-19 06:00:00,PayPal,Refunded,166.66,166.66
10,10,2024-02-03 00:00:00,Card,Paid,146.09,0.0
11,11,2025-01-30 08:00:00,PayPal,Paid,377.59,0.0
12,12,2025-09-26 18:00:00,Card,Paid,152.07,0.0
13,13,2024-07-04 05:00:00,Buy Now Pay Later,Paid,457.12,6.39
14,14,2024-02-24 16:00:00,PayPal,Paid,353.4,0.0
15,15,2024-12-01 17:00:00,Google Pay,Paid,808.26,0.0
16,16,2024-03-27 21:00:00,Card,Paid,20.93,0.0
17,17,2024-12-31 01:00:00,Google Pay,Paid,114.03,0.0
18,18,2024-01-16 16:00:00,Card,Paid,74.8,0.0
19,19,2025-08-22 23:00:00,Google Pay,Paid,83.75,0.0
20,20,2025-02-03 18:00:00,Apple Pay,Paid,444.14,0.0
21,21,2025-12-17 07:00:00,Card,Paid,672.27,0.0
22,22,2025-12-06 22:00:00,Google Pay,Paid,460.16,0.0
23,23,2024-09-26 19:00:00,Card,Paid,118.51,0.0
24,24,2024-09-02 19:00:00,Google Pay,Paid,79.57,0.0
25,25,2024-01-21 05:00:00,Card,Paid,62.66,0.0
26,26,2025-02-27 03:00:00,Card,Paid,186.32,0.0
27,27,2025-09-16 23:00:00,PayPal,Paid,623.27,0.0
28,28,2024-02-05 14:00:00,PayPal,Paid,505.92,0.0
29,29,2025-12-26 01:00:00,Buy Now Pay Later,Paid,168.47,0.0
30,30,2025-04-14 11:00:00,Buy Now Pay Later,Paid,235.74,0.0
31,31,2024-10-17 04:00:00,PayPal,Paid,50.15,0.0
32,32,2025-05-28 10:00:00,Google Pay,Paid,404.55,0.0
33,33,2025-10-20 15:00:00,Buy Now Pay Later,Paid,30.0,0.0
34,34,2025-12-22 04:00:00,Apple Pay,Paid,407.69,0.0
35,35,2025-12-09 03:00:00,Google Pay,Paid,230.16,0.0
36,36,2024-04-01 23:00:00,Buy Now Pay Later,Partially Refunded,416.31,264.91
37,37,2024-06-28 19:00:00,Google Pay,Failed,0.0,0.0
38,38,2024-11-10 23:00:00,Google Pay,Paid,369.88,0.0
39,39,2024-01-18 20:00:00,Card,Paid,64.0,0.0
40,40,2025-03-26 22:00:00,Card,Paid,506.54,0.0
41,41,2025-09-25 02:00:00,Card,Paid,81.04,0.0
42,42,2024-07-28 20:00:00,PayPal,Paid,97.94,0.0
43,43,2025-02-26 21:00:00,Apple Pay,Paid,119.61,0.0
44,44,2024-12-20 10:00:00,Card,Paid,103.77,0.0
45,45,2024-01-16 07:00:00,PayPal,Paid,266.64,0.0
46,46,2024-03-20 01:00:00,Apple Pay,Paid,224.21,0.0
47,47,2025-03-06 02:00:00,Apple Pay,Paid,183.0,0.0
48,48,2024-09-14 18:00:00,Card,Refunded,119.96,119.96
49,49,2024-10-30 17:00:00,Apple Pay,Paid,1229.16,0.0
50,50,2024-05-13 18:00:00,Buy Now Pay Later,Paid,28.32,0.0
51,51,2024-02-11 22:00:00,Buy Now Pay Later,Paid,125.71,0.0
52,52,2025-01-31 00:00:00,Card,Paid,183.18,0.0
53,53,2024-12-12 15:00:00,Google Pay,Paid,530.94,0.0
54,54,2024-06-06 13:00:00,Google Pay,Paid,30.97,0.0
55,55,2024-09-18 02:00:00,Card,Paid,289.61,0.0
56,56,2024-07-19 09:00:00,Buy Now Pay Later,Paid,379.82,0.0
57,57,2025-11-14 01:00:00,Card,Paid,68.42,0.0
58,58,2024-06-30 10:00:00,Buy Now Pay Later,Paid,42.26,0.0
59,59,2025-08-29 02:00:00,Apple Pay,Paid,42.35,0.0
60,60,2024-11-20 18:00:00,Google Pay,Paid,468.91,0.0
61,61,2025-11-15 03:00:00,Google Pay,Paid,149.66,0.0
62,62,2024-09-10 17:00:00,Google Pay,Paid,74.19,0.0
63,63,2025-05-02 11:00:00,PayPal,Paid,68.53,0.0
64,64,2025-12-28 01:00:00,Buy Now Pay Later,Paid,401.8,0.0
65,65,2024-12-21 01:00:00,Card,Paid,177.69,0.0
66,66,2024-11-02 20:00:00,Card,Paid,375.9,0.0
67,67,2024-04-26 10:00:00,Apple Pay,Paid,45.29,0.0
68,68,2024-03-10 07:00:00,Apple Pay,Paid,423.1,0.0
69,69,2024-05-11 22:00:00,PayPal,Paid,103.41,0.0
70,70,2024-02-10 00:00:00,Google Pay,Paid,215.62,0.0
71,71,2025-12-04 09:00:00,Card,Paid,219.73,0.0
72,72,2024-09-25 08:00:00,,Paid,75.59,0.0
73,73,2025-08-07 23:00:00,PayPal,Paid,65.01,0.0
74,74,2025-05-12 16:00:00,Apple Pay,Paid,235.66,0.0
75,75,2025-03-06 04:00:00,Card,Paid,177.74,0.0
76,76,2024-05-30 01:00:00,Buy Now Pay Later,Paid,46.14,0.0
77,77,2024-05-15 14:00:00,Buy Now Pay Later,Paid,172.62,0.0
78,78,2024-08-19 15:00:00,Buy Now Pay Later,Paid,41.57,0.0
79,79,2024-08-12 16:00:00,Buy Now Pay Later,Paid,141.91,0.0
80,80,2025-07-23 13:00:00,PayPal,Paid,505.79,0.0
81,81,2025-03-19 05:00:00,Card,Paid,116.4,0.0
82,82,2025-11-23 15:00:00,Card,Paid,93.23,0.0
83,83,2024-08-22 15:00:00,Buy Now Pay Later,Paid,152.28,0.0
84,84,2024-09-03 10:00:00,Google Pay,Paid,714.79,0.0
85,85,2024-04-17 08:00:00,PayPal,Paid,103.04,0.0
86,86,2024-02-12 21:00:00,PayPal,Paid,56.29,0.0
87,87,2024-12-03 06:00:00,Google Pay,Paid,200.96,0.0
88,88,2025-03-15 22:00:00,PayPal,Paid,203.73,0.0
89,89,2024-08-20 22:00:00,Apple Pay,Paid,80.26,0.0
90,90,2025-09-30 22:00:00,Apple Pay,Paid,149.6,0.0
91,91,2024-07-29 05:00:00,Apple Pay,Refunded,324.63,324.63
92,92,2024-12-25 21:00:00,Card,Paid,30.58,0.0
93,93,2025-04-17 05:00:00,PayPal,Paid,219.95,0.0
94,94,2024-12-24 12:00:00,Google Pay,Paid,176.72,0.0
95,95,2024-06-27 03:00:00,PayPal,Paid,69.44,0.0
96,96,2025-01-15 15:00:00,Apple Pay,Paid,105.45,0.0
97,97,2025-08-20 23:00:00,Buy Now Pay Later,Paid,180.58,0.0
98,98,2025-08-25 15:00:00,PayPal,Paid,139.45,6.81
99,99,2025-03-07 03:00:00,Buy Now Pay Later,Paid,67.0,0.0
100,100,2024-09-10 18:00:00,Card,Paid,32.63,0.0
101,101,2025-05-02 16:00:00,Card,Paid,332.95,0.0
102,102,2025-12-06 12:00:00,Google Pay,Paid,245.22,0.0
103,103,2025-08-11 09:00:00,PayPal,Paid,48.44,0.0
104,104,2024-11-24 22:00:00,Buy Now Pay Later,Paid,70.8,0.0
105,105,2025-12-22 02:00:00,PayPal,Paid,87.28,0.0
106,106,2025-07-22 23:00:00,Buy Now Pay Later,Paid,54.83,0.0
107,107,2024-06-11 11:00:00,Apple Pay,Paid,18.2,0.0
108,108,2025-05-23 20:00:00,Google Pay,Paid,299.69,0.0
109,109,2025-09-06 07:00:00,PayPal,Paid,267.52,0.0
110,110,2025-03-06 07:00:00,Card,Paid,780.89,0.0
111,111,2025-04-13 19:00:00,Card,Paid,56.25,0.0
112,112,2025-05-23 21:00:00,PayPal,Paid,73.25,0.0
113,113,2025-02-21 08:00:00,Google Pay,Paid,317.6,0.0
114,114,2024-06-18 18:00:00,Card,Paid,499.52,0.0
