shipment_id,order_id,carrier,shipped_date,delivered_date,delivery_service,shipment_status
1,1,Yodel,2025-07-11,2025-07-14,Next Day,Delivered
2,2,Yodel,2025-03-26,2025-03-28,Click & Collect,Delivered
3,3,Evri,2024-09-25,2024-09-26,Click & Collect,Delivered
4,4,Yodel,2025-04-08,2025-04-10,Next Day,Delivered
5,5,Evri,2025-07-22,2025-07-23,Standard,Delivered
6,6,Evri,2024-11-09,2024-11-11,Next Day,Delivered
7,7,DPD,2025-07-13,2025-07-14,Next Day,Delivered
8,8,Yodel,2025-06-22,2025-06-24,Click & Collect,In Transit
9,10,DPD,2024-02-05,2024-02-06,Click & Collect,Delivered
10,11,DPD,2025-01-29,2025-02-02,Click & Collect,Delivered
11,12,Yodel,2025-09-30,2025-10-01,Standard,Delivered
12,13,Yodel,2024-07-10,2024-07-11,Click & Collect,Lost
13,14,DPD,2024-02-24,2024-02-27,Next Day,Delivered
14,15,DPD,2024-11-30,2024-12-01,Standard,Delivered
15,16,Evri,2024-03-31,2024-04-01,Standard,Delivered
16,17,Evri,2025-01-02,2025-01-03,Standard,Delivered
17,18,Yodel,2024-01-17,2024-01-21,Click & Collect,Delivered
18,19,DPD,2025-08-23,2025-08-25,Standard,Delivered
19,20,Evri,2025-02-08,2025-02-11,Click & Collect,Delivered
20,21,Royal Mail,2025-12-17,2025-12-18,Standard,Delivered
21,22,Royal Mail,2025-12-06,2025-12-07,Next Day,Delivered
22,23,DPD,2024-10-01,2024-10-04,Click & Collect,Delayed
23,24,DPD,2024-09-04,2024-09-06,Click & Collect,Delivered
24,25,DPD,2024-01-23,2024-01-26,Click & Collect,Delivered
25,26,Evri,2025-03-03,2025-03-06,Click & Collect,Delivered
26,27,Yodel,2025-09-15,2025-09-17,Standard,Delivered
27,28,Evri,2024-02-11,2024-02-12,Click & Collect,Delivered
28,29,Yodel,2025-12-29,2025-12-30,Click & Collect,Delivered
29,30,DPD,2025-04-19,2025-04-20,Click & Collect,In Transit
30,31,Evri,2024-10-18,,Click & Collect,Delayed
31,32,DPD,2025-06-01,2025-06-02,Click & Collect,Delayed
32,33,Yodel,2025-10-20,2025-10-21,Next Day,In Transit
33,34,DPD,2026-01-01,2026-01-02,Next Day,Delivered
34,35,Yodel,2025-12-11,2025-12-12,Click & Collect,Delivered
35,36,Evri,2024-03-31,2024-04-01,Next Day,Delivered
36,38,Royal Mail,2024-11-12,,Click & Collect,Delivered
37,39,DPD,2024-01-18,2024-01-21,Click & Collect,In Transit
38,40,Evri,2025-03-26,2025-03-27,Next Day,Delivered
39,41,DPD,2025-09-29,2025-10-02,Standard,In Transit
40,42,DPD,2024-07-29,2024-07-31,Standard,Delivered
41,43,Evri,2025-03-01,2025-03-02,Standard,Delivered
42,44,Yodel,2024-12-28,,Next Day,In Transit
43,45,Evri,2024-01-19,2024-01-21,Next Day,Delivered
44,46,Evri,2024-03-21,2024-03-23,Standard,Delivered
45,47,DPD,2025-03-06,2025-03-07,Standard,Delivered
46,49,Yodel,2024-11-03,2024-11-05,Standard,In Transit
47,50,Royal Mail,2024-05-13,2024-05-14,Click & Collect,Delivered
48,51,Yodel,2024-02-12,2024-02-15,Standard,Delivered
49,52,DPD,2025-02-01,2025-02-02,Next Day,Delivered
50,53,Yodel,2024-12-20,2024-12-23,Standard,Delivered
51,55,DPD,2024-09-25,2024-09-26,Click & Collect,Delivered
52,56,Evri,2024-07-18,2024-07-21,Next Day,Delivered
53,57,Yodel,2025-11-18,2025-11-22,Next Day,In Transit
54,58,Royal Mail,2024-06-30,2024-07-04,Standard,Delivered
55,59,Yodel,2025-09-01,2025-09-04,Standard,Delivered
56,60,Royal Mail,2024-11-23,2024-11-26,Click & Collect,Delivered
57,61,DPD,2025-11-20,2025-11-21,Standard,Delivered
58,62,Yodel,2024-09-15,2024-09-18,Click & Collect,Delivered
59,63,Yodel,2025-05-09,2025-05-11,Next Day,Delayed
60,64,Evri,2025-12-30,2026-01-01,Standard,Delivered
61,65,DPD,2024-12-21,2024-12-22,Next Day,Delivered
62,66,Yodel,2024-11-02,2024-11-03,Next Day,Delivered
63,67,Evri,2024-04-27,2024-04-29,Next Day,Delivered
64,68,Royal Mail,2024-03-11,2024-03-12,Next Day,Delivered
65,69,DPD,2024-05-12,2024-05-13,Click & Collect,Delivered
66,71,Evri,2025-12-05,2025-12-09,Standard,Delivered
67,72,Royal Mail,2024-10-03,2024-10-06,Click & Collect,Delivered
68,73,DPD,2025-08-07,2025-08-10,Standard,Lost
69,74,Royal Mail,2025-05-12,2025-05-13,Next Day,Delivered
70,75,DPD,2025-03-09,2025-03-10,Standard,Delivered
